focus,eye_ori_x,eye_ori_y,eye_ori_z,head_x,head_y,head_z,exp_id,gender,age,game_exp,vr_exp
FocusIn,-0.9578341,-0.2002785,0.2059782,-11.93111,9.870207,7.962591,User_29,1,2,4,1
FocusIn,-0.9417285,-0.2760577,0.192164,-11.92311,9.871596,7.971073,User_29,1,2,4,1
FocusIn,-0.9539005,-0.2139518,0.2104042,-11.91621,9.872087,7.993321,User_29,1,2,4,1
FocusIn,-0.9570122,-0.1869766,0.2216646,-11.92177,9.871637,7.976431,User_29,1,2,4,1
FocusIn,-0.9285672,-0.1231877,0.3501046,-11.90701,9.872938,8.000563,User_29,1,2,4,1
FocusIn,-0.9181333,-0.05953175,0.3917552,-11.91073,9.873389,7.989399,User_29,1,2,4,1
FocusIn,-0.9293798,-0.01855591,0.3686131,-11.90674,9.873943,8.00209,User_29,1,2,4,1
FocusIn,-0.9788479,-0.06673554,0.1933846,-11.91135,9.873089,8.001229,User_29,1,2,4,1
FocusIn,-0.9815709,-0.07539098,0.1755089,-11.91102,9.872574,8.000952,User_29,1,2,4,1
FocusIn,-0.983053,-0.05072193,0.1761004,-11.91948,9.872179,7.968779,User_29,1,2,4,1
FocusIn,-0.9446269,-0.0517963,0.3240218,-11.92309,9.870963,7.9389,User_29,1,2,4,1
FocusIn,-0.973009,0.009269789,0.2305267,-11.92378,9.869465,7.93917,User_29,1,2,4,1
FocusIn,-0.9804228,-0.1569223,0.1188056,-11.90309,9.869913,8.000071,User_29,1,2,4,1
FocusIn,-0.9834146,-0.127666,0.1287505,-11.90307,9.869817,7.999981,User_29,1,2,4,1
FocusIn,-0.9795831,-0.1349903,0.1489292,-11.91135,9.869646,7.975224,User_29,1,2,4,1
FocusIn,-0.9809688,-0.1198155,0.1527051,-11.91181,9.869629,7.973101,User_29,1,2,4,1
FocusIn,-0.949329,-0.1423816,0.2801384,-11.9101,9.869691,7.977901,User_29,1,2,4,1
FocusIn,-0.8260369,-0.1304598,0.5482951,-11.93067,9.864382,7.971003,User_29,1,2,4,1
FocusIn,-0.8413657,-0.1258137,0.5256023,-11.93108,9.864415,7.97569,User_29,1,2,4,1
FocusIn,-0.6952583,-0.1222979,0.7082689,-11.94843,9.862847,7.945297,User_29,1,2,4,1
FocusIn,-0.7024783,-0.1111703,0.7029612,-11.94462,9.863317,7.954556,User_29,1,2,4,1
FocusIn,-0.3607094,-0.05849267,0.9308327,-11.94719,9.863729,7.962129,User_29,1,2,4,1
FocusIn,-0.3584164,-0.05843787,0.9317215,-11.94715,9.863754,7.962231,User_29,1,2,4,1
FocusIn,-0.3572242,-0.06526363,0.9317267,-11.94574,9.863947,7.964801,User_29,1,2,4,1
FocusIn,-0.377589,-0.04999276,0.9246147,-11.93803,9.864537,7.970129,User_29,1,2,4,1
FocusIn,-0.1640113,-0.05277304,0.9850297,-11.93412,9.863886,7.972811,User_29,1,2,4,1
FocusIn,-0.1523446,-0.05286965,0.9869007,-11.93375,9.863503,7.97344,User_29,1,2,4,1
FocusIn,-0.009376894,-0.04606679,0.9988764,-11.90842,9.861362,7.980991,User_29,1,2,4,1
FocusIn,-0.006083149,-0.04603361,0.9989035,-11.90826,9.861335,7.981022,User_29,1,2,4,1
FocusIn,0.08262735,-0.04117738,0.995728,-11.93205,9.862047,7.976336,User_29,1,2,4,1
FocusIn,0.1461293,-0.01248515,0.9891855,-11.90427,9.861506,7.976301,User_29,1,2,4,1
FocusIn,-0.01912007,0.0248681,0.9994988,-11.85719,9.859491,7.971091,User_29,1,2,4,1
FocusIn,-0.01322002,0.02670605,0.9995465,-11.85508,9.859356,7.970995,User_29,1,2,4,1
FocusIn,-0.01956516,0.02938298,0.9993657,-11.85679,9.859313,7.971837,User_29,1,2,4,1
FocusIn,-0.1211357,0.09159136,0.9883965,-11.85984,9.860168,7.970465,User_29,1,2,4,1
FocusIn,-0.1210659,0.09178097,0.9883876,-11.85988,9.860188,7.970402,User_29,1,2,4,1
FocusIn,-0.2041664,0.1444485,0.968209,-11.86053,9.86,7.968174,User_29,1,2,4,1
FocusIn,-0.2015862,0.1480977,0.9681928,-11.8591,9.8598,7.968349,User_29,1,2,4,1
FocusIn,-0.1992937,0.1526808,0.9679645,-11.86818,9.861255,7.96715,User_29,1,2,4,1
FocusIn,-0.2725471,0.1692804,0.9471176,-11.91676,9.870397,7.955442,User_29,1,2,4,1
FocusIn,-0.316763,0.1482409,0.9368352,-11.88723,9.866651,7.95731,User_29,1,2,4,1
FocusIn,-0.3431199,0.1386492,0.9289998,-11.86193,9.862012,7.959788,User_29,1,2,4,1
FocusIn,-0.3142467,0.1729003,0.9334618,-11.91761,9.867692,7.947864,User_29,1,2,4,1
FocusIn,-0.4740004,0.1481471,0.8679676,-11.86603,9.862766,7.958678,User_29,1,2,4,1
FocusIn,-0.4369484,0.1446836,0.8877726,-11.89656,9.865581,7.949564,User_29,1,2,4,1
FocusIn,-0.4278926,0.1503579,0.8912228,-11.89702,9.865655,7.94934,User_29,1,2,4,1
FocusIn,-0.4284495,0.1503913,0.8909496,-11.89698,9.865665,7.949128,User_29,1,2,4,1
FocusIn,-0.4223161,0.161402,0.8919535,-11.91212,9.86694,7.944552,User_29,1,2,4,1
FocusIn,-0.4289881,0.1581886,0.8893469,-11.89344,9.865338,7.95064,User_29,1,2,4,1
FocusIn,-0.4907652,0.04977106,0.8698506,-11.86979,9.862514,7.957503,User_29,1,2,4,1
FocusIn,-0.5096433,0.05975426,0.8583039,-11.87134,9.86185,7.958578,User_29,1,2,4,1
FocusIn,-0.5897665,0.0275393,0.8070928,-11.90151,9.861805,7.947538,User_29,1,2,4,1
FocusIn,-0.5742241,-0.02052978,0.8184366,-11.88756,9.860296,7.949647,User_29,1,2,4,1
FocusIn,-0.4604664,0.01578246,0.8875332,-11.89367,9.862113,7.934518,User_29,1,2,4,1
FocusIn,-0.4731167,0.0504838,0.8795348,-11.86542,9.859572,7.947575,User_29,1,2,4,1
FocusIn,-0.4504351,0.01283003,0.8927057,-11.89179,9.860912,7.935063,User_29,1,2,4,1
FocusIn,-0.4899908,0.03403411,0.8710545,-11.86995,9.859258,7.948119,User_29,1,2,4,1
FocusIn,-0.4897479,0.03420195,0.8711845,-11.86993,9.859265,7.948112,User_29,1,2,4,1
FocusIn,-0.4671885,0.03271002,0.8835492,-11.86552,9.860595,7.946709,User_29,1,2,4,1
FocusIn,-0.4177581,0.02555261,0.9081872,-11.87617,9.862011,7.939752,User_29,1,2,4,1
FocusIn,-0.2990302,0.04408643,0.953209,-11.86925,9.861395,7.9429,User_29,1,2,4,1
FocusIn,-0.3709657,0.02971433,0.9281648,-11.88137,9.859645,7.952394,User_29,1,2,4,1
FocusIn,-0.370786,0.02970807,0.9282368,-11.88139,9.859649,7.952492,User_29,1,2,4,1
FocusIn,-0.5082576,0.05978715,0.8591207,-11.91887,9.864843,7.948933,User_29,1,2,4,1
FocusIn,-0.542872,0.04083879,0.8388028,-11.86246,9.862703,7.972127,User_29,1,2,4,1
FocusIn,-0.5126565,0.04207888,0.8575523,-11.90747,9.865824,7.9546,User_29,1,2,4,1
FocusIn,-0.5916656,0.05082361,0.8045737,-11.84757,9.86609,7.986745,User_29,1,2,4,1
FocusIn,-0.573556,0.07485609,0.8157282,-11.84794,9.866689,7.988842,User_29,1,2,4,1
FocusIn,-0.5631047,-0.01965591,0.8261372,-11.89852,9.867616,7.966716,User_29,1,2,4,1
FocusIn,-0.5553978,-0.022412,0.831272,-11.89281,9.863334,7.976121,User_29,1,2,4,1
FocusIn,-0.5754983,-0.06886501,0.8148894,-11.89413,9.86206,7.975009,User_29,1,2,4,1
FocusIn,-0.5796085,0.05018283,0.8133321,-11.86819,9.862711,7.987861,User_29,1,2,4,1
FocusIn,-0.5703476,0.0413333,0.8203608,-11.87562,9.865092,7.981514,User_29,1,2,4,1
FocusIn,-0.6282496,0.02682585,0.7775391,-11.86259,9.868752,7.978482,User_29,1,2,4,1
FocusIn,-0.4313039,-0.07342996,0.8992001,-11.87537,9.866121,7.959091,User_29,1,2,4,1
FocusIn,-0.4311453,-0.07353271,0.8992679,-11.8753,9.866107,7.959119,User_29,1,2,4,1
FocusIn,-0.4573741,-0.0845903,0.8852268,-11.84564,9.864529,7.974632,User_29,1,2,4,1
FocusIn,-0.4569219,-0.08465751,0.8854539,-11.8455,9.864545,7.974686,User_29,1,2,4,1
FocusIn,-0.4432257,-0.07681959,0.8931055,-11.85829,9.865472,7.968078,User_29,1,2,4,1
FocusIn,-0.4546644,-0.07289926,0.8876635,-11.85726,9.866364,7.967709,User_29,1,2,4,1
FocusIn,-0.4556122,-0.07438926,0.8870492,-11.8538,9.866517,7.968709,User_29,1,2,4,1
FocusIn,-0.4501543,-0.0782211,0.8895014,-11.8641,9.867549,7.962787,User_29,1,2,4,1
FocusIn,-0.4499389,-0.07821426,0.889611,-11.86406,9.867558,7.962792,User_29,1,2,4,1
FocusIn,-0.4523835,-0.08241826,0.8879967,-11.85778,9.867229,7.965485,User_29,1,2,4,1
FocusIn,-0.4521733,-0.08249231,0.8880969,-11.85774,9.867229,7.965491,User_29,1,2,4,1
FocusIn,-0.4171436,-0.09686135,0.9036573,-11.8439,9.866088,7.971896,User_29,1,2,4,1
FocusIn,-0.5294554,-0.1230749,0.8393537,-11.83523,9.865062,7.973535,User_29,1,2,4,1
FocusIn,-0.8200499,0.0548864,0.5696253,-11.84169,9.868178,7.987014,User_29,1,2,4,1
FocusIn,-0.7916558,0.08522755,0.6049873,-11.87336,9.86928,7.961474,User_29,1,2,4,1
FocusIn,-0.810927,0.04898921,0.5830705,-11.85118,9.868237,7.979857,User_29,1,2,4,1
FocusIn,-0.9020337,0.03337682,0.4303365,-11.86514,9.86827,7.969285,User_29,1,2,4,1
FocusIn,-0.8940176,0.09651013,0.4375045,-11.88752,9.868794,7.949742,User_29,1,2,4,1
FocusIn,-0.989448,-0.05907914,0.1322281,-11.89081,9.868008,7.943963,User_29,1,2,4,1
FocusIn,-0.9870535,-0.02025528,0.1590717,-11.89071,9.867935,7.94214,User_29,1,2,4,1
FocusIn,-0.9391762,-0.1046595,-0.3270523,-11.87776,9.863675,7.983863,User_29,1,2,4,1
FocusIn,-0.871982,-0.1019608,-0.4787672,-11.88614,9.865152,7.972922,User_29,1,2,4,1
FocusIn,-0.864226,-0.07637653,-0.4972675,-11.88759,9.865779,7.954442,User_29,1,2,4,1
FocusIn,-0.8624284,-0.0764528,-0.5003673,-11.88756,9.865788,7.954367,User_29,1,2,4,1
FocusIn,-0.8492901,-0.08070228,-0.5217081,-11.89012,9.8649,7.973401,User_29,1,2,4,1
FocusIn,-0.9502696,-0.1274774,0.2841201,-11.87663,9.866674,7.994246,User_29,1,2,4,1
FocusIn,-0.9524224,-0.1211265,0.2796319,-11.87498,9.866439,7.993755,User_29,1,2,4,1
FocusIn,-0.947417,-0.1199019,0.2966366,-11.8716,9.865761,7.994167,User_29,1,2,4,1
FocusIn,-0.8512391,-0.08542137,0.5177518,-11.88967,9.866549,7.952883,User_29,1,2,4,1
FocusIn,-0.8622836,-0.09150296,0.4980611,-11.87928,9.866535,7.967807,User_29,1,2,4,1
FocusIn,-0.9411671,-0.04709087,0.3346054,-11.85972,9.865797,7.994262,User_29,1,2,4,1
FocusIn,-0.9380158,-0.03155492,0.3451329,-11.87366,9.866229,7.974038,User_29,1,2,4,1
FocusIn,-0.8600845,-0.01078323,0.5100355,-11.88258,9.866552,7.962071,User_29,1,2,4,1
FocusIn,-0.9409595,-0.01333162,0.3382159,-11.87073,9.865993,7.979721,User_29,1,2,4,1
FocusIn,-0.941083,-0.01346938,0.3378665,-11.87071,9.865984,7.979738,User_29,1,2,4,1
FocusIn,-0.9412369,-0.01364722,0.3374304,-11.87068,9.865974,7.979759,User_29,1,2,4,1
FocusIn,-0.9876923,-0.02987501,0.1534411,-11.86724,9.865597,7.985065,User_29,1,2,4,1
FocusIn,-0.984917,-0.02907545,0.1705242,-11.87283,9.865426,7.97312,User_29,1,2,4,1
FocusIn,-0.9869157,-0.03612386,0.1570658,-11.872,9.865129,7.974724,User_29,1,2,4,1
FocusIn,-0.9835734,-0.01463709,0.1798767,-11.87644,9.865096,7.965653,User_29,1,2,4,1
FocusIn,-0.9837047,-0.01494552,0.1791316,-11.87643,9.865078,7.965652,User_29,1,2,4,1
FocusIn,-0.9848023,-0.03537089,0.169981,-11.87149,9.864722,7.97647,User_29,1,2,4,1
FocusIn,-0.9881976,-0.04066557,0.1476213,-11.86811,9.864032,7.985441,User_29,1,2,4,1
FocusIn,-0.9913995,-0.07168519,0.1094651,-11.87388,9.863889,7.971315,User_29,1,2,4,1
FocusIn,-0.9504822,-0.07992911,0.3002835,-11.86375,9.863012,7.998878,User_29,1,2,4,1
FocusIn,-0.8505144,0.3844307,0.3589274,-11.87765,9.881141,7.962385,User_29,1,2,4,1
FocusIn,-0.7778115,0.3097561,0.5468507,-11.87012,9.88307,7.970301,User_29,1,2,4,1
FocusIn,-0.7577093,0.1144443,0.6424636,-11.84265,9.880419,8.011138,User_29,1,2,4,1
FocusIn,-0.7161196,0.1238706,0.686878,-11.87356,9.882337,7.968143,User_29,1,2,4,1
FocusIn,-0.7347957,0.1124173,0.6688879,-11.87091,9.881896,7.971353,User_29,1,2,4,1
FocusIn,-0.7721904,-0.02802938,0.6347508,-11.84988,9.878526,7.999533,User_29,1,2,4,1
FocusIn,-0.8061165,-0.04846408,0.5897416,-11.85119,9.877503,7.999949,User_29,1,2,4,1
FocusIn,-0.8224947,-0.07294802,0.5640636,-11.83725,9.876796,8.014967,User_29,1,2,4,1
FocusIn,-0.8090189,-0.05960957,0.5847268,-11.858,9.87747,7.991335,User_29,1,2,4,1
FocusIn,-0.9002056,0.01833326,0.4350552,-11.83661,9.876322,8.014767,User_29,1,2,4,1
FocusIn,-0.82894,0.0734382,0.5544859,-11.85734,9.875706,7.992946,User_29,1,2,4,1
FocusIn,-0.8908052,0.03569041,0.4529591,-11.85964,9.875276,7.990087,User_29,1,2,4,1
FocusIn,-0.7545593,0.02914775,0.6555825,-11.86231,9.874652,7.989907,User_29,1,2,4,1
FocusIn,-0.7230529,-0.005624553,0.6907548,-11.85475,9.754201,7.988571,User_29,1,2,4,1
FocusIn,-0.809152,0.01445798,0.58741,-11.84217,9.753489,8.005275,User_29,1,2,4,1
FocusIn,-0.9019244,0.01083543,0.4317446,-11.83607,9.752317,8.016588,User_29,1,2,4,1
FocusIn,-0.9594975,0.01053761,0.2814877,-11.83319,9.751377,8.037107,User_29,1,2,4,1
FocusIn,-0.9544612,0.008116444,0.2981747,-11.83244,9.751328,8.039001,User_29,1,2,4,1
FocusIn,-0.8939297,-0.06864586,0.4429007,-11.82919,9.747187,8.062928,User_29,1,2,4,1
